"ENSEMBL ID","Biotype","Gene symbol","Description","Expression Low","Expression Disease","Log2 FC","Adjusted P","Counts difference"
"ENSG00000125820","protein_coding","NKX2-2","NKX2-2",5.76660675865392,5.59035582631891,-17.9796897717118,5.6125110886887e-10,-0.176250932335004
"ENSG00000198075","protein_coding","SULT1C4","SULT1C4",7.95175689215332,9.4378003590121,4.18379396336296,1.12310478057388e-07,1.48604346685878
"ENSG00000177885","protein_coding","GRB2","GRB2",13.6916569821569,14.8142282249557,2.01973873862396,5.19302568671244e-06,1.12257124279885
"ENSG00000163631","protein_coding","ALB","ALB",9.83515877225517,6.50936398362919,-7.67431819810815,6.77623688738698e-06,-3.32579478862598
"ENSG00000115665","protein_coding","SLC5A7","SLC5A7",5.67712874184448,7.92843459366665,8.54085914929128,0.00019575007563532,2.25130585182217
"ENSG00000156671","protein_coding","SAMD8","SAMD8",11.3165372725968,12.9107252604109,2.27236512090876,0.00019575007563532,1.5941879878141
"ENSG00000130449","protein_coding","ZSWIM6","ZSWIM6",10.0090554835162,11.4394824154417,1.97732774490237,0.00114720051887195,1.43042693192555
"ENSG00000132825","protein_coding","PPP1R3D","PPP1R3D",10.4572492004534,11.1702085431439,2.08274746642915,0.00114720051887195,0.71295934269047
"ENSG00000139364","protein_coding","TMEM132B","TMEM132B",6.77481253262421,7.44621715581922,2.84024869976325,0.00114720051887195,0.671404623195016
"ENSG00000162892","protein_coding","IL24","IL24",6.63843341081234,8.09364531843367,4.21781661963566,0.00114720051887195,1.45521190762133
"ENSG00000205693","protein_coding","MANSC4","MANSC4",6.0242541642083,6.67657335739859,3.73244416152202,0.00114720051887195,0.652319193190281
"ENSG00000120211","protein_coding","INSL4","INSL4",5.64333339761784,6.32150048616917,5.57434609755431,0.00761100429132486,0.678167088551324
"ENSG00000162631","protein_coding","NTNG1","NTNG1",7.76656314886,6.03208073171443,-5.48958430830329,0.00761100429132486,-1.73448241714557
"ENSG00000167653","protein_coding","PSCA","PSCA",8.57037224510609,7.20229436507049,-4.87266583895114,0.0129980642319153,-1.36807788003559
"ENSG00000164591","protein_coding","MYOZ3","MYOZ3",7.15431322072372,8.54845139151516,3.12965784234802,0.0146821509866545,1.39413817079144
"ENSG00000180694","protein_coding","TMEM64","TMEM64",10.8133070678966,13.0666445208243,3.54658398881551,0.0149230441458647,2.25333745292777
"ENSG00000182931","protein_coding","WFDC10B","WFDC10B",5.75741418184959,6.63527296049836,4.14338908077917,0.0295763997859725,0.877858778648778
"ENSG00000171877","protein_coding","FRMD5","FRMD5",7.20926925431779,8.35541993683976,2.14687373006573,0.0408411824825421,1.14615068252197
"ENSG00000042781","protein_coding","USH2A","USH2A",6.5949473122238,6.25335198110597,-1.77046334817609,0.0413171666812586,-0.341595331117832
"ENSG00000079393","protein_coding","DUSP13","DUSP13",6.33557535470408,8.60123734722815,3.36359678430506,0.0413171666812586,2.26566199252407
"ENSG00000143126","protein_coding","CELSR2","CELSR2",12.5721162763789,13.7000755291739,1.83492524144863,0.0413171666812586,1.12795925279504
"ENSG00000187715","protein_coding","KBTBD12","KBTBD12",6.02986990662088,6.48690025115426,2.73285201168449,0.0464559255254066,0.457030344533377
