"ENSEMBL ID","Biotype","Gene symbol","Description","Expression Low","Expression Disease","Log2 FC","Adjusted P","Counts difference"
"ENSG00000134569","protein_coding","LRP4","LRP4",8.44239560276173,8.900701675788,3.08748547837825,6.72655120710117e-43,0.458306073026272
"ENSG00000196361","protein_coding","ELAVL3","ELAVL3",5.91918009162197,6.26998964005511,3.93138190760841,1.11551373441529e-18,0.350809548433141
"ENSG00000096006","protein_coding","CRISP3","CRISP3",7.71214709736579,6.76996502254106,-5.39576963156725,1.5116251026883e-14,-0.942182074824734
"ENSG00000109424","protein_coding","UCP1","UCP1",6.32624514307212,5.95474229499243,-3.68370508956912,2.99607298874986e-14,-0.371502848079689
"ENSG00000150051","protein_coding","MKX","MKX",7.91934190112662,7.10807723030576,-2.27326816657121,2.68637828409974e-12,-0.811264670820853
"ENSG00000134240","protein_coding","HMGCS2","HMGCS2",9.44414207108133,7.80944687981205,-2.80361413006902,3.39629016795909e-12,-1.63469519126927
"ENSG00000229453","protein_coding","SPINK8","SPINK8",7.21985602754254,6.34907465113485,-2.78136396147389,3.76036676765863e-12,-0.870781376407687
"ENSG00000134020","protein_coding","PEBP4","PEBP4",7.14372432467995,6.53611963103752,-2.14260642669282,1.51478541039975e-11,-0.60760469364243
"ENSG00000154478","protein_coding","GPR26","GPR26",6.77771283393957,6.30086923831362,-4.38157425315585,3.04436188384415e-11,-0.476843595625954
"ENSG00000162365","protein_coding","CYP4A22","CYP4A22",6.24220982048742,5.87726915302798,-2.49458960751143,4.08799117943478e-09,-0.36494066745944
"ENSG00000131781","protein_coding","FMO5","FMO5",10.1779271473229,9.10472150025444,-1.42210833571147,5.68368415607653e-09,-1.07320564706849
"ENSG00000164850","protein_coding","GPER1","GPER1",8.30898898125049,9.2586660516801,1.90912310894258,1.62111798678422e-08,0.949677070429605
"ENSG00000110484","protein_coding","SCGB2A2","SCGB2A2",12.6033157070917,10.6500799249061,-2.03524065220588,1.65147371636771e-08,-1.95323578218565
"ENSG00000104899","protein_coding","AMH","AMH",7.31249105760815,6.61981962416681,-1.80610095402994,4.73228955927185e-08,-0.692671433441332
"ENSG00000167757","protein_coding","KLK11","KLK11",7.56100505992975,6.84428338439365,-3.72171927369091,4.88310860765996e-08,-0.716721675536095
"ENSG00000180694","protein_coding","TMEM64","TMEM64",10.2340320151968,11.0494868933068,1.76081000317076,7.53108596139612e-08,0.815454878109993
"ENSG00000129437","protein_coding","KLK14","KLK14",6.761155191742,6.49081630738593,-4.48625844383073,7.85391925031641e-08,-0.270338884356076
"ENSG00000124935","protein_coding","SCGB1D2","SCGB1D2",10.6267006270026,9.01209477428315,-2.30546271457679,7.85589777302658e-08,-1.6146058527194
"ENSG00000007216","protein_coding","SLC13A2","SLC13A2",7.7188464936906,7.08927902350926,-1.44685204266076,1.55987904422794e-07,-0.629567470181338
"ENSG00000102003","protein_coding","SYP","SYP",8.27419552232556,7.77394435104733,-1.18335856646079,1.6121798042044e-07,-0.500251171278234
"ENSG00000146205","protein_coding","ANO7","ANO7",7.58582527309809,7.92115225713846,1.46435007001666,1.66634109886031e-07,0.335326984040372
"ENSG00000186377","protein_coding","CYP4X1","CYP4X1",10.941716061566,9.25332120603937,-1.79100138638853,2.1204023089434e-07,-1.68839485552663
"ENSG00000177238","protein_coding","TRIM72","TRIM72",6.93625616747571,6.52664357904052,-1.72455322167911,2.51743724454035e-07,-0.409612588435191
"ENSG00000155511","protein_coding","GRIA1","GRIA1",6.71902549626879,6.48762124606108,-3.4220687384766,3.42320617453588e-07,-0.231404250207702
