"ENSEMBL ID","Biotype","Gene symbol","Description","Expression Low","Expression Disease","Log2 FC","Adjusted P","Counts difference"
"ENSG00000256463","protein_coding","SALL3","SALL3",5.97858610513856,6.48877450099326,3.51381537462694,3.49876829937556e-05,0.510188395854694
"ENSG00000172987","protein_coding","HPSE2","HPSE2",6.54530565098263,7.33783703584171,3.34441260314064,0.000109190824651645,0.79253138485908
"ENSG00000139610","protein_coding","CELA1","CELA1",5.81516464608669,6.13129154883573,2.80321552714465,0.000210786262980425,0.316126902749042
"ENSG00000174226","protein_coding","SNX31","SNX31",6.07653171785973,6.67625652674541,2.84565838609132,0.000914640089333435,0.599724808885675
"ENSG00000104941","protein_coding","RSPH6A","RSPH6A",5.74027383656147,5.941926953552,2.63202109929481,0.00174970555235534,0.201653116990528
"ENSG00000163631","protein_coding","ALB","ALB",7.53370784564313,9.83515877225517,2.74946683847193,0.00174970555235534,2.30145092661204
"ENSG00000177570","protein_coding","SAMD12","SAMD12",10.9352094499955,11.8008529082861,1.11628558004199,0.00206810650392903,0.865643458290636
"ENSG00000153902","protein_coding","LGI4","LGI4",7.77301973685232,8.29683415641023,1.36870923120794,0.00250801567749535,0.523814419557914
"ENSG00000054793","protein_coding","ATP9A","ATP9A",13.0051596515481,13.7482977207864,1.06222498494655,0.00461709604665507,0.74313806923827
"ENSG00000179083","protein_coding","FAM133A","FAM133A",6.31411913789475,6.87522670084907,1.86528773673189,0.0114855002550443,0.561107562954316
"ENSG00000171649","protein_coding","ZIK1","ZIK1",8.246565590102,8.76024241993031,1.50995256083447,0.012430641443025,0.513676829828304
"ENSG00000182631","protein_coding","RXFP3","RXFP3",5.93464443077758,6.20384672169517,1.55174034872469,0.012430641443025,0.26920229091759
"ENSG00000042781","protein_coding","USH2A","USH2A",6.48254358776608,6.5949473122238,1.13060544653794,0.0124713571087513,0.11240372445772
"ENSG00000172322","protein_coding","CLEC12A","CLEC12A",6.98914886689089,7.44771873335781,1.49659490524922,0.0135568702926505,0.458569866466919
"ENSG00000154188","protein_coding","ANGPT1","ANGPT1",7.82479480922454,8.44889648301254,1.11875969454309,0.0149705455434196,0.624101673787995
"ENSG00000160862","protein_coding","AZGP1","AZGP1",15.5111342382948,14.11935416012,-1.3477052354504,0.0155332685286523,-1.39178007817483
"ENSG00000132874","protein_coding","SLC14A2","SLC14A2",6.74438854692586,6.74464247723324,2.29192152713851,0.0164213433177005,0.000253930307378525
"ENSG00000167653","protein_coding","PSCA","PSCA",7.69132863837728,8.57037224510609,2.77803752278812,0.0172017377176337,0.879043606728807
"ENSG00000205089","protein_coding","CCNI2","CCNI2",7.05548584361576,7.77031780236032,1.66532123394002,0.0225912584185329,0.714831958744562
"ENSG00000104549","protein_coding","SQLE","SQLE",12.0990017216883,13.082311664981,1.09054262745768,0.0237244043236165,0.983309943292682
"ENSG00000253767","protein_coding","PCDHGA8","PCDHGA8",6.35949778656051,6.87257332505976,1.59299149774667,0.0251191994599939,0.513075538499247
"ENSG00000188032","protein_coding","C19orf67","C19orf67",5.98440103765866,5.78684142306574,-1.67267363294364,0.0323519762698805,-0.197559614592918
"ENSG00000179909","protein_coding","ZNF154","ZNF154",8.14920472789344,8.46110218050127,1.02901455898057,0.0402540905049791,0.31189745260783
"ENSG00000244476","protein_coding","ERVFRD-1","ERVFRD-1",6.17014325134044,6.49422736130621,1.35471437260952,0.0466935146925612,0.324084109965769
