"ENSEMBL ID","Biotype","Gene symbol","Description","Expression Low","Expression Disease","Log2 FC","Adjusted P","Counts difference"
"ENSG00000134569","protein_coding","LRP4","LRP4",8.44239560276173,8.900701675788,3.08748547837825,6.72655120710117e-43,0.458306073026272
"ENSG00000196361","protein_coding","ELAVL3","ELAVL3",5.91918009162197,6.26998964005511,3.93138190760841,1.11551373441529e-18,0.350809548433141
"ENSG00000096006","protein_coding","CRISP3","CRISP3",7.71214709736579,6.76996502254106,-5.39576963156725,1.5116251026883e-14,-0.942182074824734
"ENSG00000109424","protein_coding","UCP1","UCP1",6.32624514307212,5.95474229499243,-3.68370508956912,2.99607298874986e-14,-0.371502848079689
"ENSG00000150051","protein_coding","MKX","MKX",7.91934190112662,7.10807723030576,-2.27326816657121,2.68637828409974e-12,-0.811264670820853
"ENSG00000134240","protein_coding","HMGCS2","HMGCS2",9.44414207108133,7.80944687981205,-2.80361413006902,3.39629016795909e-12,-1.63469519126927
"ENSG00000229453","protein_coding","SPINK8","SPINK8",7.21985602754254,6.34907465113485,-2.78136396147389,3.76036676765863e-12,-0.870781376407687
"ENSG00000134020","protein_coding","PEBP4","PEBP4",7.14372432467995,6.53611963103752,-2.14260642669282,1.51478541039975e-11,-0.60760469364243
"ENSG00000154478","protein_coding","GPR26","GPR26",6.77771283393957,6.30086923831362,-4.38157425315585,3.04436188384415e-11,-0.476843595625954
"ENSG00000162365","protein_coding","CYP4A22","CYP4A22",6.24220982048742,5.87726915302798,-2.49458960751143,4.08799117943478e-09,-0.36494066745944
