"ENSEMBL ID","Biotype","Gene symbol","Description","Expression Low","Expression Disease","Log2 FC","Adjusted P","Counts difference"
"ENSG00000256463","protein_coding","SALL3","SALL3",5.97858610513856,6.48877450099326,3.51381537462694,3.49876829937556e-05,0.510188395854694
"ENSG00000172987","protein_coding","HPSE2","HPSE2",6.54530565098263,7.33783703584171,3.34441260314064,0.000109190824651645,0.79253138485908
"ENSG00000139610","protein_coding","CELA1","CELA1",5.81516464608669,6.13129154883573,2.80321552714465,0.000210786262980425,0.316126902749042
"ENSG00000174226","protein_coding","SNX31","SNX31",6.07653171785973,6.67625652674541,2.84565838609132,0.000914640089333435,0.599724808885675
"ENSG00000104941","protein_coding","RSPH6A","RSPH6A",5.74027383656147,5.941926953552,2.63202109929481,0.00174970555235534,0.201653116990528
"ENSG00000163631","protein_coding","ALB","ALB",7.53370784564313,9.83515877225517,2.74946683847193,0.00174970555235534,2.30145092661204
"ENSG00000177570","protein_coding","SAMD12","SAMD12",10.9352094499955,11.8008529082861,1.11628558004199,0.00206810650392903,0.865643458290636
"ENSG00000153902","protein_coding","LGI4","LGI4",7.77301973685232,8.29683415641023,1.36870923120794,0.00250801567749535,0.523814419557914
"ENSG00000054793","protein_coding","ATP9A","ATP9A",13.0051596515481,13.7482977207864,1.06222498494655,0.00461709604665507,0.74313806923827
"ENSG00000179083","protein_coding","FAM133A","FAM133A",6.31411913789475,6.87522670084907,1.86528773673189,0.0114855002550443,0.561107562954316
